3,-434,-162,-24,-452,-131,-49,-431,-110,-9,-437,-82,-6,-406,-98,-55,-360,-98,-18,-385,-131,-18,-403,-140,-46,-327,-119,-67,-342,-116,-70,-379,-116,-76,-400,-70,-24,-382,-64,-21,-379,-110,-64,-431,-125,-9,-455,-122,6,-431,-104,9,-394,-104,27,-379,-107,-24,-385,-113,-64,-336,-82,-61,-391,-101,-6,-382,-89,-12,-302,-64,-9,-299,-64,Desk
-64,-373,-137,-21,-458,-140,37,-434,-98,40,-354,-89,27,-348,-101,3,-354,-116,-12,-342,-116,-18,-394,-128,-34,-443,-137,-37,-412,-140,-40,-406,-119,-21,-440,-104,-9,-437,-92,-61,-406,-122,-95,-394,-144,-76,-406,-113,-21,-409,-79,-37,-354,-82,-58,-379,-104,-64,-318,-104,-12,-290,-73,15,-321,-89,-34,-315,-107,-37,-312,-92,-12,-370,-125,Desk
-55,-360,-107,-70,-339,-101,-58,-357,-82,-49,-397,-119,-58,-382,-128,-43,-406,-116,-37,-397,-113,-55,-403,-104,-55,-367,-110,-58,-333,-131,-64,-345,-122,-64,-412,-128,-101,-373,-140,-73,-394,-116,-67,-452,-76,-73,-452,-67,-73,-418,-82,-73,-400,-107,-89,-403,-116,-52,-431,-119,-61,-428,-125,-58,-370,-128,-40,-379,-128,-34,-385,-116,-86,-370,-110,Desk
-3,-418,-107,-31,-342,-86,-73,-373,-98,-64,-388,-64,-49,-348,-61,-46,-308,-92,-46,-330,-107,-55,-397,-119,-92,-461,-95,-86,-403,-104,-40,-354,-119,-27,-327,-95,-34,-330,-61,-24,-357,-98,-70,-376,-107,-67,-370,-110,-27,-425,-113,-12,-409,-98,-18,-367,-92,-40,-376,-101,-73,-376,-122,-67,-367,-131,-37,-351,-128,-55,-284,-113,-70,-342,-98,Desk
-12,-373,-116,31,-354,-46,3,-348,-49,-46,-308,-104,-31,-367,-125,-37,-391,-113,-52,-370,-110,-12,-379,-110,12,-351,-104,-61,-391,-107,-52,-437,-128,-31,-367,-147,-24,-382,-122,-24,-431,-113,-21,-394,-125,-76,-403,-147,-86,-412,-134,-61,-403,-116,-86,-382,-86,-92,-415,-92,-95,-418,-110,-98,-376,-116,-107,-370,-131,-64,-412,-131,-9,-425,-150,Desk
-31,-357,-125,-67,-370,-122,-82,-418,-140,-76,-461,-150,-37,-467,-119,-3,-461,-73,-64,-446,-55,-55,-403,-70,-34,-406,-86,-43,-376,-98,-82,-385,-147,-95,-449,-144,-34,-421,-110,-55,-348,-144,-46,-336,-140,-9,-412,-101,-3,-394,-92,21,-354,-86,40,-391,-89,-43,-461,-95,-46,-415,-89,-24,-406,-92,-43,-388,-89,-52,-418,-101,-52,-449,-113,Desk
-61,-333,-98,-58,-339,-76,-104,-342,-70,-134,-394,-79,-55,-412,-79,-73,-351,-95,-107,-415,-104,-37,-501,-82,-12,-418,-110,-31,-373,-125,-21,-376,-137,-55,-348,-122,-46,-421,-95,-21,-483,-64,-61,-431,-104,-79,-428,-125,-70,-446,-113,-64,-446,-82,-31,-452,-107,-3,-461,-128,-37,-443,-101,-18,-446,-116,-40,-425,-156,-46,-492,-131,-34,-486,-128,Desk
-64,-431,-98,-82,-473,-125,-37,-470,-128,-61,-351,-119,-64,-345,-113,-55,-327,-79,-73,-403,-89,-61,-434,-122,-18,-382,-134,-73,-397,-119,-67,-473,-92,-27,-452,-98,-31,-382,-113,-31,-327,-110,-21,-330,-107,-21,-336,-116,-34,-348,-140,-40,-403,-119,-3,-394,-92,-31,-327,-110,-55,-348,-89,-49,-406,-64,-27,-333,-76,21,-281,-110,24,-318,-128,Desk
-40,-418,-116,-31,-464,-150,-18,-443,-116,-43,-345,-113,-61,-367,-122,-67,-400,-125,-49,-412,-89,-79,-403,-92,-79,-425,-140,-40,-351,-153,-9,-333,-110,12,-412,-82,34,-434,-82,12,-406,-98,-31,-379,-116,-37,-370,-137,-21,-385,-128,-6,-391,-92,-61,-409,-79,-92,-406,-76,-73,-351,-95,-18,-290,-110,-58,-299,-89,-49,-363,-86,-34,-379,-122,Desk
-43,-434,-116,-119,-415,-119,-67,-421,-104,-6,-394,-98,27,-373,-101,40,-354,-92,6,-379,-113,-15,-431,-116,-21,-403,-95,-6,-373,-92,31,-379,-110,31,-312,-107,-37,-305,-110,-49,-370,-116,-31,-342,-125,-18,-312,-131,-37,-348,-101,-24,-373,-125,-15,-345,-137,-40,-394,-119,-43,-370,-107,-40,-345,-122,-70,-345,-134,-86,-351,-134,-58,-382,-107,Desk
