-0.121,-0.056,-0.019,-0.115,0.045,-0.013,-0.061,0.116,0.081,-0.050,0.069,0.105,-0.067,0.008,0.092,-0.106,-0.120,0.138,-0.161,-0.174,0.180,-0.143,-0.117,0.150,-0.084,-0.045,0.128,-0.042,-0.074,0.193,-0.045,-0.103,0.134,-0.017,-0.080,0.140,0.048,-0.049,0.181,0.098,-0.001,0.118,0.091,-0.017,0.151,0.086,-0.015,0.177,0.091,0.053,0.110,0.110,0.050,0.063,0.072,0.019,0.094,0.006,-0.030,0.125,-0.066,-0.063,0.166,-0.140,-0.141,0.164,-0.163,-0.198,0.086,-5.577,-0.202,7.599,-5.408,-0.019,7.544,Wrist
0.001,-0.035,0.001,-0.098,-0.067,-0.001,-0.153,-0.061,-0.003,-0.185,-0.040,0.009,-0.178,-0.002,-0.023,-0.146,-0.006,-0.018,-0.154,-0.000,-0.032,-0.111,0.032,-0.092,-0.096,0.054,-0.070,-0.061,0.097,-0.082,-0.037,0.081,-0.097,-0.036,0.053,-0.133,-0.024,0.072,-0.129,-0.062,0.085,-0.098,-0.111,0.027,-0.143,-0.134,-0.001,-0.184,-0.087,0.069,-0.178,-0.068,0.085,-0.124,-0.053,0.027,-0.135,-0.071,0.032,-0.108,-0.076,0.066,-0.079,-0.054,0.071,-0.044,-0.063,0.008,-0.053,-0.087,0.018,-0.059,-5.575,-0.035,7.470,Wrist
0.319,0.233,-0.040,0.330,0.244,-0.052,0.270,0.247,-0.069,0.196,0.226,-0.052,0.158,0.181,-0.095,0.103,0.127,-0.122,0.028,0.075,-0.057,-0.033,-0.002,-0.049,-0.059,-0.061,-0.087,-0.046,-0.064,-0.072,0.034,-0.011,-0.041,0.125,0.043,0.011,0.197,0.100,0.005,0.198,0.077,0.044,0.160,-0.002,0.062,0.104,-0.079,0.060,0.085,-0.082,0.042,0.138,-0.015,0.044,0.241,0.074,0.123,0.303,0.090,0.156,0.261,0.071,0.125,0.194,-0.019,0.148,0.116,-0.071,0.150,0.110,-0.069,0.151,-5.690,-0.588,7.453,Wrist
0.074,0.100,-0.038,0.103,0.150,0.060,0.117,0.134,0.082,0.116,0.147,0.041,0.091,0.113,-0.048,0.032,0.091,-0.064,-0.029,0.057,0.029,-0.067,0.032,0.065,-0.080,0.049,-0.026,-0.091,0.063,-0.007,-0.076,0.067,-0.046,-0.032,0.132,-0.113,0.053,0.219,-0.059,0.103,0.299,-0.002,0.117,0.265,-0.012,0.072,0.189,-0.055,0.012,0.138,-0.074,-0.061,0.108,-0.052,-0.070,0.069,-0.035,-0.026,0.078,-0.060,0.052,0.134,-0.073,0.091,0.170,-0.092,0.035,0.140,-0.062,-0.049,0.048,-0.062,-5.662,-0.573,7.435,Wrist
0.395,0.240,-0.016,0.463,0.223,-0.031,0.443,0.209,-0.056,0.334,0.244,-0.070,0.263,0.220,-0.046,0.198,0.132,-0.018,0.213,0.104,0.021,0.229,0.197,0.021,0.272,0.293,-0.013,0.295,0.270,-0.025,0.307,0.268,-0.081,0.217,0.147,-0.020,0.099,0.057,-0.038,0.102,0.110,-0.078,0.125,0.201,0.019,0.219,0.244,-0.002,0.301,0.246,0.003,0.312,0.260,0.043,0.299,0.252,0.002,0.335,0.287,-0.017,0.353,0.311,0.025,0.332,0.282,0.018,0.293,0.251,0.044,0.204,0.177,0.035,-5.208,-0.449,7.835,Wrist
0.195,0.087,0.017,0.191,0.104,0.048,0.081,0.063,0.060,-0.054,0.010,0.078,-0.157,-0.014,0.036,-0.185,0.001,0.123,-0.126,-0.019,0.108,-0.013,0.041,0.029,0.126,0.118,0.042,0.161,0.151,0.017,0.099,0.141,0.040,-0.019,0.108,0.058,-0.105,0.071,0.023,-0.118,0.032,0.023,-0.065,0.078,0.013,0.008,0.147,-0.007,0.007,0.139,-0.007,0.016,0.118,0.032,-0.036,0.118,0.008,-0.090,0.114,0.004,-0.130,0.062,0.034,-0.071,0.066,0.021,-0.035,0.074,-0.022,0.019,0.056,-0.050,-4.895,-0.267,7.870,Wrist
-0.235,-0.040,0.024,-0.219,-0.076,0.035,-0.152,-0.014,-0.050,-0.064,0.097,-0.087,-0.019,0.105,-0.038,-0.009,0.087,-0.053,-0.046,0.087,-0.061,-0.091,0.078,-0.005,-0.146,0.065,-0.008,-0.158,0.003,-0.052,-0.172,-0.018,-0.065,-0.155,0.059,-0.022,-0.158,0.089,0.011,-0.125,0.032,-0.008,-0.094,0.011,0.005,-0.096,-0.004,0.039,-0.064,0.016,0.027,-0.004,0.050,0.051,0.039,0.072,0.074,0.053,0.040,0.039,0.017,-0.010,0.035,-0.023,-0.027,0.104,-0.028,-0.027,0.114,-0.034,-0.020,0.112,-4.876,-0.318,8.091,Wrist
-0.015,-0.062,-0.085,-0.131,-0.124,-0.039,-0.136,-0.073,-0.085,-0.054,0.032,-0.095,0.049,0.095,-0.096,0.079,0.050,-0.129,0.061,0.025,-0.164,0.017,0.087,-0.163,-0.014,0.137,-0.119,0.006,0.136,-0.173,-0.020,0.051,-0.180,-0.055,0.014,-0.138,-0.084,-0.003,-0.130,-0.091,0.050,-0.110,-0.038,0.099,-0.100,0.018,0.114,-0.086,0.045,0.126,-0.036,0.046,0.066,-0.058,-0.005,0.023,-0.065,-0.078,0.034,-0.021,-0.093,0.031,-0.037,-0.082,0.039,-0.025,-0.033,0.066,-0.024,-4.788,-0.210,8.026,-4.749,-0.180,7.997,Wrist
-0.068,-0.111,0.019,-0.072,-0.093,0.011,-0.119,-0.128,0.002,-0.070,-0.097,-0.029,0.015,0.053,-0.030,0.057,0.124,-0.032,0.043,0.125,-0.110,-0.055,0.072,-0.096,-0.128,0.030,-0.126,-0.203,0.030,-0.180,-0.165,0.059,-0.214,-0.093,0.120,-0.173,-0.065,0.097,-0.155,-0.029,0.095,-0.194,-0.019,0.091,-0.160,-0.034,0.089,-0.157,-0.015,0.115,-0.165,0.023,0.134,-0.141,0.009,0.110,-0.102,-0.038,0.089,-0.129,-0.078,0.079,-0.107,-0.107,0.080,-0.106,-0.095,0.084,-0.087,-0.028,0.104,-0.074,-4.796,0.114,7.964,Wrist
-0.126,-0.032,0.020,-0.174,-0.118,-0.022,-0.143,-0.090,-0.070,-0.097,-0.052,-0.003,-0.046,-0.008,-0.006,-0.026,0.024,-0.049,-0.040,0.009,-0.041,-0.107,-0.054,-0.019,-0.096,-0.067,-0.056,-0.097,0.007,-0.071,-0.054,0.037,0.007,-0.019,0.025,0.046,-0.028,-0.000,0.047,-0.056,0.021,0.025,-0.046,-0.015,-0.019,-0.005,-0.041,0.080,0.048,-0.035,0.125,0.083,-0.024,0.119,0.123,0.020,0.122,0.079,0.009,0.119,0.018,0.023,0.138,-0.070,-0.040,0.131,-0.129,-0.105,0.099,-0.110,-0.119,0.119,-4.489,0.519,8.186,Wrist
