-0.041,0.042,0.017,-0.213,0.007,-0.011,-0.224,-0.038,-0.035,-0.179,-0.071,-0.035,-0.088,-0.107,-0.023,-0.006,-0.126,-0.018,0.052,-0.086,-0.016,0.038,-0.098,0.004,-0.004,-0.131,0.012,-0.046,-0.133,-0.010,-0.080,-0.142,-0.020,-0.049,-0.129,-0.014,0.026,-0.127,-0.008,0.018,-0.119,-0.014,-0.022,-0.101,-0.018,-0.044,-0.109,-0.002,-0.014,-0.145,-0.009,0.028,-0.117,-0.010,0.046,-0.066,-0.009,0.040,-0.029,-0.006,-0.009,-0.018,-0.020,-0.036,-0.002,-0.024,-0.031,0.003,-0.010,-0.021,0.008,-0.012,-0.021,0.021,-0.005,Palm
0.056,0.062,0.013,-0.067,0.100,-0.018,-0.114,-0.042,-0.041,-0.079,-0.087,-0.034,-0.001,-0.063,-0.011,0.024,-0.039,-0.015,0.012,-0.052,-0.027,-0.009,-0.064,-0.018,-0.012,-0.070,-0.010,-0.005,-0.077,-0.015,0.010,-0.064,-0.003,0.001,-0.075,-0.015,-0.035,-0.074,-0.026,-0.028,-0.054,-0.019,0.028,-0.044,-0.008,0.029,-0.044,-0.013,-0.010,-0.021,-0.021,-0.020,-0.008,-0.009,-0.006,-0.042,0.008,0.003,-0.053,0.002,-0.003,-0.032,-0.004,-0.007,-0.015,-0.012,0.025,-0.020,-0.011,0.033,-0.039,-0.001,0.029,-0.057,-0.014,Palm
0.034,0.060,0.018,-0.057,0.081,-0.050,-0.124,-0.013,-0.075,-0.129,-0.060,-0.058,-0.080,-0.071,-0.018,0.007,-0.104,-0.023,0.039,-0.095,-0.009,0.020,-0.093,-0.004,0.003,-0.109,-0.005,0.002,-0.103,0.009,-0.010,-0.107,0.014,-0.009,-0.088,0.000,0.020,-0.055,0.009,0.041,-0.042,0.012,0.012,-0.020,0.002,-0.046,-0.027,-0.021,-0.018,-0.019,-0.018,0.016,-0.000,-0.005,0.003,-0.003,-0.011,-0.036,-0.021,-0.031,-0.032,-0.035,-0.025,-0.009,-0.043,-0.012,-0.006,-0.069,-0.008,0.002,-0.071,-0.013,0.001,-0.050,-0.002,Palm
0.058,-0.019,-0.004,0.012,0.006,-0.029,-0.047,-0.025,-0.036,-0.062,-0.040,-0.026,-0.064,-0.058,-0.014,-0.013,-0.067,-0.013,0.031,-0.062,0.007,0.023,-0.069,0.001,0.013,-0.053,-0.010,0.003,-0.040,-0.011,0.004,-0.051,-0.005,-0.021,-0.074,-0.016,-0.027,-0.057,-0.019,-0.011,-0.041,-0.017,0.020,-0.035,-0.013,0.021,-0.040,-0.001,0.005,-0.039,-0.004,-0.003,-0.040,-0.011,-0.016,-0.037,-0.013,-0.029,-0.023,-0.020,-0.011,-0.036,-0.012,0.014,-0.052,-0.002,0.002,-0.051,-0.004,-0.019,-0.046,-0.013,-0.009,-0.054,-0.017,Palm
0.056,0.034,-0.027,-0.038,-0.004,-0.081,-0.092,-0.032,-0.079,-0.042,-0.016,-0.018,-0.024,-0.040,0.003,-0.009,-0.061,-0.009,0.032,-0.051,0.013,0.024,-0.024,0.009,0.034,-0.049,-0.019,0.047,-0.048,-0.015,0.018,-0.033,-0.000,-0.024,-0.027,-0.006,-0.042,-0.028,-0.003,-0.014,-0.045,0.002,0.004,-0.062,-0.006,0.010,-0.039,-0.002,0.018,-0.022,-0.004,0.018,-0.031,-0.010,0.012,-0.046,0.001,0.018,-0.025,-0.004,-0.007,-0.018,-0.010,-0.042,-0.036,-0.009,-0.019,-0.047,-0.000,0.014,-0.039,-0.005,-0.012,-0.040,-0.020,Palm
-0.038,0.034,-0.031,-0.049,-0.010,-0.045,-0.024,-0.021,-0.032,-0.012,-0.016,-0.022,-0.028,-0.030,-0.020,-0.040,-0.050,-0.016,0.007,-0.064,-0.006,0.028,-0.045,-0.003,0.028,-0.040,0.007,0.003,-0.051,-0.009,-0.029,-0.046,-0.016,-0.024,-0.054,-0.011,-0.001,-0.068,-0.008,0.032,-0.063,0.005,0.003,-0.054,0.009,-0.017,-0.070,-0.002,0.009,-0.065,0.011,0.004,-0.053,0.002,-0.028,-0.059,-0.002,-0.019,-0.060,-0.002,0.014,-0.048,0.005,0.010,-0.050,-0.002,-0.008,-0.045,-0.007,-0.027,-0.030,-0.008,-0.015,-0.032,-0.007,Palm
-0.049,0.014,-0.028,-0.070,-0.033,-0.042,-0.040,-0.038,-0.028,0.015,-0.030,-0.017,0.003,-0.039,-0.015,-0.033,-0.056,-0.013,-0.031,-0.061,-0.019,-0.002,-0.074,-0.008,0.008,-0.100,-0.008,0.002,-0.086,-0.009,-0.035,-0.083,-0.013,-0.018,-0.065,-0.015,-0.000,-0.057,-0.026,0.001,-0.042,-0.028,-0.011,-0.042,-0.029,-0.011,-0.087,-0.024,-0.002,-0.078,-0.018,-0.002,-0.089,-0.028,0.003,-0.083,-0.053,-0.001,-0.059,-0.018,-0.020,-0.062,0.025,-0.020,-0.004,-0.009,0.005,-0.045,0.002,0.040,-0.088,0.023,0.048,-0.072,0.010,Palm
-0.271,-0.106,-0.007,-0.312,-0.044,0.008,-0.199,-0.058,0.000,-0.026,-0.070,-0.025,0.123,-0.085,-0.024,0.176,-0.126,-0.020,0.201,-0.105,0.009,0.145,-0.078,0.022,0.015,-0.087,0.031,-0.024,-0.132,0.033,-0.010,-0.123,0.027,0.061,-0.072,0.016,0.108,-0.070,-0.003,0.084,-0.067,-0.014,0.021,-0.050,-0.014,-0.020,-0.047,-0.002,-0.016,-0.041,-0.002,-0.031,-0.029,-0.003,-0.021,-0.040,-0.008,0.010,-0.048,-0.016,0.017,-0.028,-0.018,0.006,-0.018,-0.022,-0.009,-0.036,-0.024,-0.010,-0.042,-0.019,0.024,-0.046,-0.014,Palm
-0.029,-0.043,-0.012,-0.193,-0.059,-0.025,-0.219,-0.071,-0.019,-0.138,-0.075,-0.019,-0.029,-0.064,-0.017,0.071,-0.063,-0.022,0.174,-0.039,-0.032,0.218,-0.023,-0.020,0.065,-0.058,-0.018,-0.047,-0.034,-0.007,-0.090,-0.042,0.005,-0.084,-0.056,0.021,-0.048,-0.062,0.001,0.010,-0.035,-0.012,0.056,-0.031,-0.004,0.051,-0.024,0.006,0.031,-0.039,-0.002,-0.001,-0.044,0.003,-0.033,-0.043,0.008,-0.036,-0.041,-0.003,-0.017,-0.039,-0.012,0.020,-0.049,-0.005,0.010,-0.030,-0.006,-0.009,-0.045,-0.019,-0.009,-0.046,-0.018,Palm
-0.172,-0.088,-0.001,-0.166,-0.065,0.002,-0.053,-0.075,-0.005,0.013,-0.075,-0.009,0.089,-0.076,-0.020,0.100,-0.056,-0.017,0.095,-0.024,0.004,0.068,-0.052,0.005,-0.022,-0.055,-0.000,-0.039,-0.039,0.006,-0.026,-0.040,0.001,-0.019,-0.041,-0.005,0.002,-0.050,-0.020,0.026,-0.046,-0.020,0.026,0.004,-0.003,0.005,-0.017,0.004,-0.019,-0.050,-0.020,-0.032,-0.026,-0.020,-0.004,-0.037,-0.005,0.026,-0.044,-0.005,0.008,-0.017,-0.013,-0.003,-0.043,-0.020,0.002,-0.052,-0.007,-0.015,-0.035,-0.007,-0.026,-0.045,-0.010,Palm
-0.079,-0.048,-0.003,-0.119,-0.050,0.002,-0.079,-0.051,-0.005,-0.050,-0.035,-0.013,-0.011,-0.054,-0.017,0.038,-0.056,-0.020,0.093,-0.038,-0.003,0.115,-0.045,0.002,0.036,-0.055,-0.007,-0.029,-0.050,0.003,-0.049,-0.064,-0.011,-0.025,-0.035,-0.001,-0.005,-0.036,-0.004,0.037,-0.027,-0.011,0.029,-0.011,-0.010,0.005,-0.016,-0.015,-0.003,-0.033,-0.011,-0.012,-0.029,-0.016,-0.031,-0.026,-0.026,-0.026,-0.022,-0.022,0.014,-0.031,-0.014,0.017,-0.035,-0.017,-0.002,-0.028,-0.021,-0.001,-0.040,-0.012,0.005,-0.037,-0.009,Palm
-0.149,-0.054,0.011,-0.170,-0.059,0.005,-0.101,-0.063,-0.013,-0.005,-0.048,-0.020,0.091,-0.053,-0.024,0.120,-0.029,-0.024,0.099,-0.016,-0.020,0.074,-0.024,-0.008,-0.024,-0.048,-0.006,-0.071,-0.038,-0.002,-0.052,-0.055,-0.009,-0.014,-0.046,-0.003,0.008,-0.044,-0.015,0.032,-0.047,-0.021,0.023,-0.027,-0.014,-0.013,-0.015,-0.002,-0.030,-0.042,-0.007,-0.022,-0.039,-0.009,0.010,-0.035,-0.009,0.035,-0.032,-0.005,0.018,-0.039,-0.002,0.002,-0.045,-0.007,-0.000,-0.049,-0.011,-0.004,-0.043,-0.020,-0.011,-0.039,-0.009,Palm
-0.135,-0.053,0.003,-0.104,-0.062,0.003,-0.030,-0.050,-0.004,0.044,-0.034,-0.019,0.064,-0.036,-0.025,0.072,-0.026,-0.017,0.076,-0.033,-0.012,-0.004,-0.036,0.006,-0.031,-0.046,0.008,-0.037,-0.042,0.012,-0.021,-0.042,0.015,-0.008,-0.053,0.003,0.005,-0.027,0.004,-0.005,-0.040,0.004,-0.012,-0.039,0.004,-0.004,-0.062,0.005,-0.006,-0.043,0.004,-0.024,-0.040,-0.004,-0.021,-0.030,-0.007,-0.002,-0.043,-0.001,0.008,-0.042,-0.001,0.007,-0.038,-0.002,-0.003,-0.047,-0.001,-0.016,-0.041,-0.003,-0.009,-0.035,-0.007,Palm
